Accession	TDL	Gene Symbol01	Ratio 2h	Ratio 6h	Ratio 10h 	Ratio 24h	P value 2h	P value 6h	P value 10h	P value 24h	Ratio 2h	Ratio 6h	Ratio 10h 	Ratio 24h	Count	Selected	Quantity_Change	Source
P11166	Tchem	SLC2A1	-0.20378133	-0.001154909	-0.458854806	-1.278118198	0.204835715	0.990913629	0.084659271	0.031569367	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P27635	Tbio	RPL10	-0.183216468	-0.07246307	-0.491723622	-2.969765164	0.718771689	0.851182921	0.224196267	0.018946474	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P05091	Tclin	ALDH2	-0.7749931	-0.352738643	-0.649907171	-2.632782022	0.118392247	0.296659329	0.006508737	0.004345089	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
O14880	Tbio	MGST3	-0.073405276	-0.408116788	-0.705116277	-3.496472791	0.923695497	0.648622895	0.436059237	0.036159152	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
O75348	Tbio	ATP6V1G1	-0.023433964	-0.085897649	-0.350366792	-2.105487488	0.898699406	0.494730073	0.014113877	0.000292492	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
O43291	Tbio	SPINT2	-0.003816372	-0.112666212	-0.151574474	-2.650400104	0.990254315	0.705089185	0.661314273	0.003993069	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P08865	Tbio	RPSA	-0.295281665	-0.14926108	-0.636108611	-1.810042754	0.245172649	0.426649555	0.014510948	0.019038944	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P12830	Tbio	CDH1	-0.13460857	-0.058200004	-0.233413807	-1.733737625	0.303238169	0.489260862	0.206494737	0.005722309	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P46977	Tbio	STT3A	-0.237485571	-0.041741145	-0.697087582	-2.616014971	0.618272433	0.921785697	0.175867269	0.027865797	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q9BZL1	Tbio	UBL5	-0.14279131	-0.188304009	-0.391161792	-1.922364838	0.329149155	0.102141712	0.002844654	0.002695579	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
