gene_symbol	uniprot	tdl	tdl_priority
TP53I3	Q53FA7	Tbio	3
TP53INP1	Q96A56	Tbio	3
TP53INP2	Q8IXH6	Tbio	3
TP53RK	Q96S44	Tbio	3
TP53TG3	Q9ULZ0	Tdark	4
TP53TG3B	Q9ULZ0	Tdark	4
TP53TG3C	Q9ULZ0	Tdark	4
TP53TG3D	Q9ULZ0	Tdark	4
TP53TG3E	Q9ULZ0	Tdark	4
TP53TG3F	Q9ULZ0	Tdark	4
TP53TG5	Q9Y2B4	Tdark	4
TP63	Q9H3D4	Tbio	3
TP73	O15350	Tbio	3
TPBG	Q13641	Tbio	3
TPBGL	P0DKB5	Tdark	4
TPCN1	Q9ULQ1	Tchem	2
TPCN2	Q8NHX9	Tchem	2
TPD52	P55327	Tbio	3
TPD52L1	Q16890	Tbio	3
TPD52L2	O43399	Tbio	3
TPD52L3	Q96J77	Tdark	4
TPGS1	Q6ZTW0	Tdark	4
TPGS2	Q68CL5	Tdark	4
TPH1	P17752	Tclin	1
TPH2	Q8IWU9	Tchem	2
TPI1	P60174	Tbio	3
TPK1	Q9H3S4	Tbio	3
TPM1	P09493	Tbio	3
TPM2	P07951	Tbio	3
TPM3	P06753	Tbio	3
TPM4	P67936	Tbio	3
TPMT	P51580	Tchem	2
TPO	P07202	Tclin	1
TPP1	O14773	Tbio	3
TPP2	P29144	Tchem	2
TPPP	O94811	Tbio	3
TPPP2	P59282	Tdark	4
TPPP3	Q9BW30	Tbio	3
TPR	P12270	Tbio	3
TPRA1	Q86W33	Tdark	4
TPRG1	Q6ZUI0	Tdark	4
TPRG1L	Q5T0D9	Tbio	3
TPRKB	Q9Y3C4	Tbio	3
TPRN	Q4KMQ1	Tbio	3
TPRX1	Q8N7U7	Tdark	4
TPRXL	Q17RH7	Tdark	4
TPSAB1	Q15661	Tclin	1
TPSB2	P20231	Tbio	3
TPSD1	Q9BZJ3	Tbio	3
TPSG1	Q9NRR2	Tchem	2
TPST1	O60507	Tbio	3
TPST2	O60704	Tbio	3
TPT1	P13693	Tbio	3
TPT1P8	Q9HAU6	Tdark	4
TPTE	P56180	Tbio	3
TPTE2	Q6XPS3	Tbio	3
TPTE2P1	Q5T6R2	Tdark	4
TPX2	Q9ULW0	Tbio	3
TRA2A	Q13595	Tbio	3
TRA2B	P62995	Tbio	3
TRABD	Q9H4I3	Tdark	4
