gene_symbol	uniprot
CBR1	E9PQ63
CBR1	P16152
CCDC86	H0YG79
CCDC86	Q9H6F5
CCNH	A0A2R8Y4K6
CCNH	A0A2R8YEM2
CCNH	D6RG18
CCNH	D6RHI7
CCNH	P51946
CD300E	C9JDD2
CD300E	Q496F6
CD300LB	A8K4G0
CD300LB	J9JID3
CD300LF	J3KS52
CD300LF	Q8TDQ1
CD300LG	K7EL06
CD300LG	Q6UXG3
CD4	A0A4Y5UGE4
CD4	F5GYA9
CD4	F5H480
CD4	P01730
CD4	Q13969
CD4	Q6LCP8
CD8A	B8ZZZ4
CD8A	P01732
CD8A	Q8TAW8
CD8A	Q96QR6
CDA	P32320
CDA	Q71UE9
CDH1	A0A0E3XJU3
CDH1	A0A0U2ZQU7
CDH1	A0A140HMB1
CDH1	A0A3G2JNR5
CDH1	A0A6C0N5X1
CDH1	A5D8W4
CDH1	B3GN61
CDH1	D3XNU5
CDH1	H3BNC6
CDH1	H3BVI7
CDH1	J3QKP1
CDH1	P12830
CDH17	E5RJT3
CDH17	E7EN24
CDH17	H0YBL0
CDH17	Q12864
CDK5RAP2	A0A0A0MRG9
CDK5RAP2	A0A0C4ZLW1
CDK5RAP2	A6H8X1
CDK5RAP2	B1AMJ5
CDK5RAP2	B7ZLE9
CDK5RAP2	B9EG74
CDK5RAP2	C9K0C9
CDK5RAP2	F8WBJ0
CDK5RAP2	F8WCI3
CDK5RAP2	F8WF55
CDK5RAP2	Q05CZ3
CDK5RAP2	Q5JTU8
CDK5RAP2	Q96SN8
CDK7	A0A0S2Z3F9
CDK7	D6R9G1
CDK7	D6R9Z2
CDK7	D6RAD4
CDK7	D6REC6
CDK7	D6RF14
CDK7	D6RFL0
CDK7	D6RGG9
CDK7	D6RI01
CDK7	D6RIG9
CDK7	P50613
CDKN1A	A0A024RCX5
CDKN1A	P38936
CEACAM8	M0R1X3
CEACAM8	P31997
CEACAM8	Q0Z7S6
CEBPZ	C9J9W7
CEBPZ	Q03701
CENPF	A0A087WTY4
CENPF	P49454
CEP112	F5GYE8
CEP112	J3KSN4
CEP112	J3QL98
CEP112	J3QQV3
CEP112	J3QRD9
CEP112	J3QSA5
CEP112	Q8N8E3
CEP135	Q66GS9
CEP250	A0A087WZ34
CEP250	A6PVI9
CEP250	A6PVJ0
CEP250	E7ETF9
CEP250	E9PHT2
CEP250	G1UI40
CEP250	H0Y5R2
CEP250	H7C0D6
CEP250	H7C0P0
CEP250	Q5JWS5
CEP250	Q5JWS6
CEP250	Q6IPL3
CEP250	Q9BV73
CEP350	A0A024R914
CEP350	A2A4F6
CEP350	E9PIK0
CEP350	H0Y6Q4
CEP350	H0Y7F7
CEP350	H0YD38
CEP350	L8ECF2
CEP350	Q05D72
CEP350	Q5T2X4
CEP350	Q5T2X5
CEP350	Q5VT06
CEP43	A0A087WV25
CEP43	O95684
